,0,1,2,3
983,gabizinha,@gabturquetti,2009-06-17T03:37:49.000Z,"i'll sleep, i'm tired, i have to study, and my bed is calling me"
984,gabizinha,@gabturquetti,2009-06-17T03:37:21.000Z,"SO, JUST MORE 5 TWEETS FOR 800 UPDATES!"
985,gabizinha,@gabturquetti,2009-06-16T20:40:26.000Z,postando no blog
986,gabizinha,@gabturquetti,2009-06-16T20:28:02.000Z,and i've got new erasers and a new notpad
987,gabizinha,@gabturquetti,2009-06-16T20:24:14.000Z,"ok, i didnt come to school today! GREAT! but i'm cold, and look, i just sleep all the day!"
988,gabizinha,@gabturquetti,2009-06-16T12:56:52.000Z,HEEEEEEEEEY!
989,gabizinha,@gabturquetti,2009-06-15T23:04:37.000Z,coke is life
990,gabizinha,@gabturquetti,2009-06-15T23:01:49.000Z,HMMMMMMMMMMM I LOVE TIC TACS
991,gabizinha,@gabturquetti,2009-06-15T22:48:01.000Z,"Em resposta a 
@marinafonsecaw@marinafletcher
 atoron o perigon da miley"
992,gabizinha,@gabturquetti,2009-06-15T22:43:45.000Z,Twitition: McFly songs on Eclipse or Breaking Dawn movies http://twitition.com/zjwa8 @babilorentz
993,gabizinha,@gabturquetti,2009-06-15T22:42:21.000Z,"Twitition: come for a gig in Israel http://twitition.com/lwdg2 
@BATYASMUSIC"
994,gabizinha,@gabturquetti,2009-06-15T14:56:59.000Z,"trying to use twitter by my phone, WHERE IS MY REAL PHONE? D:"
995,gabizinha,@gabturquetti,2009-06-15T14:42:05.000Z,nose hates me.
996,gabizinha,@gabturquetti,2009-06-15T14:21:33.000Z,"Em resposta a 
@moveis@moveis
 O show de ontem foi ótimo ! xX"
997,gabizinha,@gabturquetti,2009-06-15T14:20:57.000Z,"@gabrielalovesjb
 SEGUE MAIS HOJE ORAS!"
998,gabizinha,@gabturquetti,2009-06-15T13:48:44.000Z,"Em resposta a 
@ptjutcarrlyu@ptjutcarrlyu
 STOP FOLLOWING ME! I DONT WANT TO SEE BRITNEY NAKED OR SOMETHING LIKE!"
999,gabizinha,@gabturquetti,2009-06-15T13:48:00.000Z,AZEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEDO!
1000,gabizinha,@gabturquetti,2009-06-15T13:46:11.000Z,I'M JUST DRINKIN BECAUSE I HAVE TO DO THIS comofas
1001,gabizinha,@gabturquetti,2009-06-15T13:45:48.000Z,"i did my lemonade but with no SUGARRRRRRRR , NO ONE SURVIVE WITH LOMANADE WITHOUT SUGAR NO ONE"
1002,gabizinha,@gabturquetti,2009-06-15T13:35:53.000Z,because i'm sick D:
1003,gabizinha,@gabturquetti,2009-06-15T13:35:43.000Z,"ok, i'll stop talking that miley is something or everything, i'll do my homework, but before, i've so many lemons(?) here, doing a juice"
1004,gabizinha,@gabturquetti,2009-06-15T13:34:34.000Z,somebody wanna do my homework ?
1005,gabizinha,@gabturquetti,2009-06-15T13:31:42.000Z,vou parar de falar da miley antes que algum sujeito taque um tamanco em mim
1006,gabizinha,@gabturquetti,2009-06-15T13:30:31.000Z,miley e seu parente http://twitpic.com/3cwun
1007,gabizinha,@gabturquetti,2009-06-16T20:24:14.000Z,"ok, i didnt come to school today! GREAT! but i'm cold, and look, i just sleep all the day!"
1008,gabizinha,@gabturquetti,2009-06-16T12:56:52.000Z,HEEEEEEEEEY!
1009,gabizinha,@gabturquetti,2009-06-15T23:04:37.000Z,coke is life
1010,gabizinha,@gabturquetti,2009-06-15T23:01:49.000Z,HMMMMMMMMMMM I LOVE TIC TACS
1011,gabizinha,@gabturquetti,2009-06-15T22:48:01.000Z,"Em resposta a 
@marinafonsecaw@marinafletcher
 atoron o perigon da miley"
1012,gabizinha,@gabturquetti,2009-06-15T22:43:45.000Z,Twitition: McFly songs on Eclipse or Breaking Dawn movies http://twitition.com/zjwa8 @babilorentz
1013,gabizinha,@gabturquetti,2009-06-15T22:42:21.000Z,"Twitition: come for a gig in Israel http://twitition.com/lwdg2 
@BATYASMUSIC"
