,endTime,artistName,trackName,minutedPlayed
203,2020-07-26 23:49:00,Melim,Gelo,2.49545
204,2020-07-26 23:52:00,Ana Gabriela,"Não Te Largo, Não Te Troco",3.1500333333333335
205,2020-07-26 23:56:00,ANAVITÓRIA,Pupila,3.37145
206,2020-07-26 23:59:00,Ariane Villa Lobos,Meu Destino,3.0791666666666666
207,2020-07-27 00:02:00,Fran,eu reparo,3.58955
208,2020-07-27 00:05:00,Dois é Par,Dança,2.6686833333333335
209,2020-07-27 00:08:00,Silva,Um Pôr do Sol Na Praia,3.14025
210,2020-07-27 00:10:00,Julio Secchin,Quero Ir pra Bahia Com Você,2.2583166666666665
211,2020-07-27 00:14:00,Bryan Behr,Eu Te Amo - Voz E Violão,3.594133333333333
212,2020-07-27 00:18:00,Mariana Nolasco,Planeta Borboleta,4.190216666666666
213,2020-07-27 00:21:00,Scalene,Casa Aberta,3.1182833333333333
214,2020-07-27 00:24:00,Mahmundi,Nós De Fronte,3.0749666666666666
215,2020-07-27 00:27:00,Jhama,Ouro,2.9770333333333334
216,2020-07-27 00:30:00,Rodrigo Alarcon,15b - Piano,2.4186666666666667
217,2020-07-27 00:33:00,ANAVITÓRIA,Me conta da tua janela,3.3667833333333332
218,2020-07-27 00:38:00,"Francisco, el Hombre",Cai,4.452
219,2020-07-27 00:44:00,Maria Gadú,Gente Aberta - Acorda Amor,5.924666666666667
220,2020-07-27 00:46:00,Lenine,Leve e Suave,2.5685333333333333
221,2020-07-27 00:50:00,Zeca Baleiro,Sete Vidas,4.294016666666667
222,2020-07-27 00:55:00,ANAVITÓRIA,relicário,4.0923
223,2020-07-27 00:59:00,Flavio Venturini,Lua de Marajó,4.218133333333333
224,2020-07-27 01:02:00,Adriana Calcanhotto,Eu Vi Você Sambar,3.58615
225,2020-07-27 01:06:00,Lucas Santtana,Meu Primeiro Amor,3.218933333333333
226,2020-07-27 01:09:00,Tiago Iorc,Pode Se Achegar,3.813
227,2020-07-27 01:12:00,Rubel,Paz Interior,2.824883333333333
228,2020-07-27 01:15:00,Vicka,A Canção Mais Bonita,2.933333333333333
229,2020-07-27 01:18:00,OUTROEU,Velha Infância - Acústico,3.0212666666666665
230,2020-07-27 01:22:00,ZéVitor,Menina,3.4966666666666666
231,2020-07-27 01:24:00,Gabriel Gonti,A Gente Se Dá Bem - Acústico,2.73015
232,2020-07-27 01:27:00,Luis Kiari,Nunca Pare de Sonhar,3.0002166666666668
233,2020-07-27 01:32:00,Mariana Froes,A Porta,4.8711
234,2020-07-27 01:34:00,Nicolas Candido,Correr Atrás,2.005133333333333
